,diferencia,T,xT
297,19.588192419825074,1,19.588192419825074
298,-16.976474005228,0,-0.0
299,-8.718138160325083,0,-0.0
300,-9.881422924901186,0,-0.0
301,-44.76919508234749,0,-0.0
302,54.83870967741935,1,54.83870967741935
303,-27.632152418902933,0,-0.0
304,42.47694149123424,1,42.47694149123424
305,73.67060561299851,1,73.67060561299851
306,22.432917258390013,1,22.432917258390013
307,65.48027444253859,1,65.48027444253859
308,-20.294970008213923,0,-0.0
309,-21.51125071702499,0,-0.0
310,13.896586407208982,1,13.896586407208982
311,-7.306395782900839,0,-0.0
312,-12.03163531599403,0,-0.0
313,-6.727055176788969,0,-0.0
314,-5.7883195577988555,0,-0.0
315,7.814133285998856,1,7.814133285998856
316,-88.72452474738826,0,-0.0
317,4.90485232919882,1,4.90485232919882
318,-29.60132788716019,0,-0.0
319,21.998979341107983,1,21.998979341107983
320,-22.51949901038122,0,-0.0
321,64.76175399715055,1,64.76175399715055
322,46.265676813805925,1,46.265676813805925
323,49.5040502562407,1,49.5040502562407
324,19.754276461250186,1,19.754276461250186
325,-35.05372266925284,0,-0.0
326,56.22218559419812,1,56.22218559419812
327,27.797099342836084,1,27.797099342836084
328,39.71855760773967,1,39.71855760773967
329,44.31052151594069,1,44.31052151594069
330,26.01448637869857,1,26.01448637869857
331,44.46612768330081,1,44.46612768330081
332,27.72047207508596,1,27.72047207508596
333,63.20466537073035,1,63.20466537073035
334,1.5006974021187962,1,1.5006974021187962
335,20.616190331708538,1,20.616190331708538
336,20.585930015850067,1,20.585930015850067
337,39.66350158254206,1,39.66350158254206
338,-37.46999411205218,0,-0.0
339,62.758374910905204,1,62.758374910905204
340,39.60964408725603,1,39.60964408725603
341,49.52603379585108,1,49.52603379585108
342,28.251696936341958,1,28.251696936341958
343,40.79450970040913,1,40.79450970040913
344,14.244552494147309,1,14.244552494147309
345,28.985491808517438,1,28.985491808517438
346,32.042817346289674,1,32.042817346289674
347,-6.804890836739083,0,-0.0
348,77.874441570656,1,77.874441570656
349,24.490281237092756,1,24.490281237092756
350,37.376768109729966,1,37.376768109729966
351,5.143305850019631,1,5.143305850019631
352,67.55555555555556,1,67.55555555555556
353,23.1262286783835,1,23.1262286783835
354,20.385700298038348,1,20.385700298038348
355,-25.11699851900609,0,-0.0
356,44.751381215469614,1,44.751381215469614
357,57.389984825493165,1,57.389984825493165
358,15.55921439491944,1,15.55921439491944
359,17.14924294620801,1,17.14924294620801
360,26.22116514313551,1,26.22116514313551
361,26.85296415950362,1,26.85296415950362
362,-29.564613199546326,0,-0.0
363,6.918980063156903,1,6.918980063156903
364,50.22240367879321,1,50.22240367879321
365,47.76319580357054,1,47.76319580357054
366,39.53198356807512,1,39.53198356807512
367,-24.640527665811653,0,-0.0
368,-25.028396710982204,0,-0.0
369,-15.314004884097773,0,-0.0
370,21.57058974976538,1,21.57058974976538
371,1.1024983723958333,1,1.1024983723958333
372,14.105021350959031,1,14.105021350959031
373,36.607252235697665,1,36.607252235697665
374,53.4449629426297,1,53.4449629426297
375,11.562783085130127,1,11.562783085130127
376,1.6285091609211284,1,1.6285091609211284
377,33.43011320312041,1,33.43011320312041
378,2.4415374011411846,1,2.4415374011411846
379,39.258176884238544,1,39.258176884238544
380,55.29317269076305,1,55.29317269076305
381,51.44950964543593,1,51.44950964543593
382,62.4099771649394,1,62.4099771649394
383,13.050126006515459,1,13.050126006515459
384,40.139468196037534,1,40.139468196037534
385,56.12205369647486,1,56.12205369647486
386,57.151830581478826,1,57.151830581478826
387,57.9465943167214,1,57.9465943167214
388,45.19969278033794,1,45.19969278033794
389,68.55361596009975,1,68.55361596009975
390,8.680555555555555,1,8.680555555555555
391,-1.7045101088646968,0,-0.0
392,78.40483731644112,1,78.40483731644112
393,50.3850423199667,1,50.3850423199667
394,55.20464559508953,1,55.20464559508953
395,27.62113793685632,1,27.62113793685632
396,66.53969221392656,1,66.53969221392656
397,-20.22048108080306,0,-0.0
398,53.1617349006891,1,53.1617349006891
399,78.63166268894193,1,78.63166268894193
400,18.746011486917677,1,18.746011486917677
401,43.17201088760539,1,43.17201088760539
402,23.452445033331955,1,23.452445033331955
403,-2.556149732620321,0,-0.0
404,43.800780837817875,1,43.800780837817875
405,-17.251606524962927,0,-0.0
406,33.853917662682605,1,33.853917662682605
407,43.59861591695502,1,43.59861591695502
408,40.144934162399416,1,40.144934162399416
409,60.697849867974355,1,60.697849867974355
410,48.55289421157685,1,48.55289421157685
411,-14.47841302481771,0,-0.0
412,11.054913294797688,1,11.054913294797688
413,58.75576036866359,1,58.75576036866359
414,49.99593954432664,1,49.99593954432664
415,-38.043011239004095,0,-0.0
416,-10.30684500393391,0,-0.0
417,-71.9081984849164,0,-0.0
418,42.52967662709783,1,42.52967662709783
419,-2.0874690586476485,0,-0.0
420,39.47179044329304,1,39.47179044329304
421,47.321954090641555,1,47.321954090641555
422,37.69590278859635,1,37.69590278859635
423,40.12918184829414,1,40.12918184829414
424,42.30775503547256,1,42.30775503547256
425,42.912546053907306,1,42.912546053907306
426,22.720000000000002,1,22.720000000000002
427,65.43764026931709,1,65.43764026931709
428,72.22602739726027,1,72.22602739726027
429,18.607149833951944,1,18.607149833951944
430,-64.75795194527345,0,-0.0
431,45.5325232308792,1,45.5325232308792
432,2.111574556830031,1,2.111574556830031
433,-38.31098010316876,0,-0.0
434,-10.752200819314913,0,-0.0
435,8.09284818067754,1,8.09284818067754
436,72.3404255319149,1,72.3404255319149
437,55.62727078435563,1,55.62727078435563
438,34.908998988877656,1,34.908998988877656
